Untitled report
"August 27, 2026 - August 28, 2026"
Campaign,Day,Hour of the day,Currency code,Cost
Search - Brand - All India,2026-08-27,0,INR,925.47
Search - Brand - All India,2026-08-27,1,INR,349.56
Search - Brand - All India,2026-08-27,2,INR,72.60
Search - Brand - All India,2026-08-27,3,INR,44.52
Search - Brand - All India,2026-08-27,4,INR,38.54
Search - Brand - All India,2026-08-27,5,INR,35.67
Search - Brand - All India,2026-08-27,6,INR,46.20
Search - Brand - All India,2026-08-27,7,INR,503.68
Search - Brand - All India,2026-08-27,8,INR,1400.55
Search - Brand - All India,2026-08-27,9,INR,1386.57
Search - Brand - All India,2026-08-27,10,INR,1894.23
Search - Brand - All India,2026-08-27,11,INR,1899.20
Search - Brand - All India,2026-08-27,12,INR,1426.24
Search - Brand - All India,2026-08-27,13,INR,1563.49
Search - Brand - All India,2026-08-27,14,INR,2101.71
Search - Brand - All India,2026-08-27,15,INR,1861.25
Search - Brand - All India,2026-08-27,16,INR,1673.52
Search - Brand - All India,2026-08-27,17,INR,2002.80
Search - Brand - All India,2026-08-27,18,INR,1301.64
Search - Brand - All India,2026-08-27,19,INR,890.43
Search - Brand - All India,2026-08-27,20,INR,1675.83
Search - Brand - All India,2026-08-27,21,INR,1874.26
Search - Brand - All India,2026-08-27,22,INR,1195.60
Search - Brand - All India,2026-08-27,23,INR,1162.54
PMax_Womens Office Bag_01-06-2022,2026-08-27,0,INR,1035.60
PMax_Womens Office Bag_01-06-2022,2026-08-27,1,INR,482.99
PMax_Womens Office Bag_01-06-2022,2026-08-27,2,INR,292.45
PMax_Womens Office Bag_01-06-2022,2026-08-27,3,INR,141.30
PMax_Womens Office Bag_01-06-2022,2026-08-27,4,INR,150.02
PMax_Womens Office Bag_01-06-2022,2026-08-27,5,INR,232.48
PMax_Womens Office Bag_01-06-2022,2026-08-27,6,INR,421.02
PMax_Womens Office Bag_01-06-2022,2026-08-27,7,INR,876.76
PMax_Womens Office Bag_01-06-2022,2026-08-27,8,INR,1149.37
PMax_Womens Office Bag_01-06-2022,2026-08-27,9,INR,1186.24
PMax_Womens Office Bag_01-06-2022,2026-08-27,10,INR,1129.27
PMax_Womens Office Bag_01-06-2022,2026-08-27,11,INR,1008.88
PMax_Womens Office Bag_01-06-2022,2026-08-27,12,INR,954.49
PMax_Womens Office Bag_01-06-2022,2026-08-27,13,INR,821.20
PMax_Womens Office Bag_01-06-2022,2026-08-27,14,INR,876.95
PMax_Womens Office Bag_01-06-2022,2026-08-27,15,INR,881.55
PMax_Womens Office Bag_01-06-2022,2026-08-27,16,INR,581.18
PMax_Womens Office Bag_01-06-2022,2026-08-27,17,INR,672.33
PMax_Womens Office Bag_01-06-2022,2026-08-27,18,INR,821.65
PMax_Womens Office Bag_01-06-2022,2026-08-27,19,INR,423.29
PMax_Womens Office Bag_01-06-2022,2026-08-27,20,INR,216.31
PMax_Womens Office Bag_01-06-2022,2026-08-27,21,INR,68.39
PMax_Womens Office Bag_01-06-2022,2026-08-27,22,INR,4.11
Pmax_Sling_06-03-2024,2026-08-27,0,INR,778.27
Pmax_Sling_06-03-2024,2026-08-27,1,INR,456.89
Pmax_Sling_06-03-2024,2026-08-27,2,INR,126.96
Pmax_Sling_06-03-2024,2026-08-27,3,INR,63.41
Pmax_Sling_06-03-2024,2026-08-27,4,INR,141.79
Pmax_Sling_06-03-2024,2026-08-27,5,INR,160.58
Pmax_Sling_06-03-2024,2026-08-27,6,INR,418.32
Pmax_Sling_06-03-2024,2026-08-27,7,INR,749.22
Pmax_Sling_06-03-2024,2026-08-27,8,INR,1674.99
Pmax_Sling_06-03-2024,2026-08-27,9,INR,1797.48
Pmax_Sling_06-03-2024,2026-08-27,10,INR,1689.61
Pmax_Sling_06-03-2024,2026-08-27,11,INR,1711.14
Pmax_Sling_06-03-2024,2026-08-27,12,INR,1545.76
Pmax_Sling_06-03-2024,2026-08-27,13,INR,953.29
Pmax_Sling_06-03-2024,2026-08-27,14,INR,1583.55
Pmax_Sling_06-03-2024,2026-08-27,15,INR,1795.77
Pmax_Sling_06-03-2024,2026-08-27,16,INR,1114.75
Pmax_Sling_06-03-2024,2026-08-27,17,INR,1518.28
Pmax_Sling_06-03-2024,2026-08-27,18,INR,477.36
Pmax_Sling_06-03-2024,2026-08-27,19,INR,7.00
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,0,INR,995.92
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,1,INR,731.37
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,2,INR,384.00
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,3,INR,213.15
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,4,INR,182.01
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,5,INR,258.60
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,6,INR,529.13
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,7,INR,645.18
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,8,INR,1006.36
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,9,INR,1023.14
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,10,INR,978.52
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,11,INR,944.02
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,12,INR,907.59
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,13,INR,986.01
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,14,INR,970.06
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,15,INR,798.66
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,16,INR,961.80
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,17,INR,474.04
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,18,INR,544.31
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,19,INR,567.47
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,20,INR,213.01
Pmax_Low Spend High CR%_22.11.25_Trial,2026-08-27,21,INR,152.12
Pmax_Best Seller_22.11.25,2026-08-27,0,INR,295.43
Pmax_Best Seller_22.11.25,2026-08-27,1,INR,168.00
Pmax_Best Seller_22.11.25,2026-08-27,2,INR,61.09
Pmax_Best Seller_22.11.25,2026-08-27,3,INR,101.30
Pmax_Best Seller_22.11.25,2026-08-27,4,INR,114.47
Pmax_Best Seller_22.11.25,2026-08-27,5,INR,150.68
Pmax_Best Seller_22.11.25,2026-08-27,6,INR,339.51
Pmax_Best Seller_22.11.25,2026-08-27,7,INR,749.54
Pmax_Best Seller_22.11.25,2026-08-27,8,INR,781.51
Pmax_Best Seller_22.11.25,2026-08-27,9,INR,1288.10
Pmax_Best Seller_22.11.25,2026-08-27,10,INR,1653.66
Pmax_Best Seller_22.11.25,2026-08-27,11,INR,1853.20
Pmax_Best Seller_22.11.25,2026-08-27,12,INR,1278.61
Pmax_Best Seller_22.11.25,2026-08-27,13,INR,678.77
Pmax_Best Seller_22.11.25,2026-08-27,14,INR,947.29
Pmax_Best Seller_22.11.25,2026-08-27,15,INR,781.56
Pmax_Best Seller_22.11.25,2026-08-27,16,INR,909.13
Pmax_Best Seller_22.11.25,2026-08-27,17,INR,740.70
Pmax_Best Seller_22.11.25,2026-08-27,18,INR,602.69
