"Hour","Order name","Orders","Total sales","Net sales","Quantity ordered"
"2026-08-27 00:00:00","#2142669",1,1617,1427.62,2
"2026-08-27 00:00:00","#2142659",1,1499,1427.62,2
"2026-08-27 00:00:00","#2142677",1,1717,1522.86,1
"2026-08-27 00:00:00","#2142690",1,2652,2413.33,2
"2026-08-27 00:00:00","#2142686",1,2187,1970.48,2
"2026-08-27 00:00:00","#2142698",1,1817,1618.1,1
"2026-08-27 00:00:00","#2142661",1,1699,1618.1,2
"2026-08-27 00:00:00","#2142716",1,1384,1318.1,1
"2026-08-27 00:00:00","#2142726",1,1499,1427.62,1
"2026-08-27 00:00:00","#2142708",1,2349,2237.14,2
"2026-08-27 00:00:00","#2142730",1,1699,1618.1,2
"2026-08-27 00:00:00","#2142700",1,2199,2094.28,2
"2026-08-27 00:00:00","#2142697",1,4598,4379.04,5
"2026-08-27 00:00:00","#2142689",1,192,182.86,1
"2026-08-27 00:00:00","#2142670",1,1599,1522.86,1
"2026-08-27 00:00:00","#2142678",1,1499,1427.62,1
"2026-08-27 00:00:00","#2142666",1,709,675.24,1
"2026-08-27 00:00:00","#2142681",1,1499,1427.62,2
"2026-08-27 00:00:00","#2142721",1,1617,1427.62,2
"2026-08-27 00:00:00","#2142711",1,1817,1618.1,2
"2026-08-27 00:00:00","#2142707",1,1499,1427.62,1
"2026-08-27 00:00:00","#2142729",1,1617,1427.62,2
"2026-08-27 00:00:00","#2142719",1,4196,3996.19,8
"2026-08-27 00:00:00","#2142696",1,899,856.19,1
"2026-08-27 00:00:00","#2142688",1,1817,1618.1,2
"2026-08-27 00:00:00","#2142671",1,1584,1508.57,1
"2026-08-27 00:00:00","#2142679",1,1348,1283.81,1
"2026-08-27 00:00:00","#2142667",1,1617,1427.62,1
"2026-08-27 00:00:00","#2142657",1,1599,1522.86,1
"2026-08-27 00:00:00","#2142680",1,4297,4092.38,5
"2026-08-27 00:00:00","#2142710",1,3727.1,3549.62,5
"2026-08-27 00:00:00","#2142720",1,1898,1807.62,3
"2026-08-27 00:00:00","#2142706",1,1699,1618.1,2
"2026-08-27 00:00:00","#2142718",1,3398,3236.2,6
"2026-08-27 00:00:00","#2142728",1,1547,1473.33,3
"2026-08-27 00:00:00","#2142658",1,1499,1427.62,2
"2026-08-27 00:00:00","#2142668",1,1837,1637.14,2
"2026-08-27 00:00:00","#2142676",1,3183,3031.42,4
"2026-08-27 00:00:00","#2142691",1,1499,1427.62,2
"2026-08-27 00:00:00","#2142687",1,1499,1427.62,1
"2026-08-27 00:00:00","#2142699",1,1699,1618.1,2
"2026-08-27 00:00:00","#2142660",1,1617,1427.62,2
"2026-08-27 00:00:00","#2142727",1,10394,9899.05,12
"2026-08-27 00:00:00","#2142717",1,1817,1618.1,2
"2026-08-27 00:00:00","#2142709",1,1916,1712.38,2
"2026-08-27 00:00:00","#2142701",1,1109,943.81,1
"2026-08-27 00:00:00","#2142731",1,1299,1237.14,1
"2026-08-27 00:00:00","#2142694",1,1499,1427.62,2
"2026-08-27 00:00:00","#2142673",1,1849,1760.95,4
"2026-08-27 00:00:00","#2142665",1,1842.3,1754.57,4
"2026-08-27 00:00:00","#2142682",1,1599,1522.86,1
"2026-08-27 00:00:00","#2142722",1,1499,1427.62,1
"2026-08-27 00:00:00","#2142712",1,2697,2568.57,5
"2026-08-27 00:00:00","#2142704",1,1817,1618.1,2
"2026-08-27 00:00:00","#2142674",1,1699,1618.1,2
"2026-08-27 00:00:00","#2142693",1,1634,1556.19,1
"2026-08-27 00:00:00","#2142685",1,1895,1804.76,2
"2026-08-27 00:00:00","#2142662",1,1426,1358.1,1
"2026-08-27 00:00:00","#2142715",1,2998,2855.24,4
"2026-08-27 00:00:00","#2142725",1,1399,1332.38,1
"2026-08-27 00:00:00","#2142733",1,4298,4093.34,5
"2026-08-27 00:00:00","#2142703",1,1817,1618.1,1
"2026-08-27 00:00:00","#2142675",1,1917,1713.33,1
"2026-08-27 00:00:00","#2142692",1,1817,1618.1,2
"2026-08-27 00:00:00","#2142684",1,1499,1427.62,2
"2026-08-27 00:00:00","#2142663",1,1699,1618.1,2
"2026-08-27 00:00:00","#2142724",1,1349.1,1284.86,1
"2026-08-27 00:00:00","#2142714",1,1817,1618.1,2
"2026-08-27 00:00:00","#2142702",1,2208,2102.86,4
"2026-08-27 00:00:00","#2142732",1,1617,1427.62,2
"2026-08-27 00:00:00","#2142695",1,2878.2,2741.14,4
"2026-08-27 00:00:00","#2142672",1,1499,1427.62,1
"2026-08-27 00:00:00","#2142664",1,1699,1618.1,2
"2026-08-27 00:00:00","#2142683",1,1999,1903.81,1
"2026-08-27 00:00:00","#2142713",1,1817,1618.1,1
"2026-08-27 00:00:00","#2142723",1,1699,1618.1,2
"2026-08-27 00:00:00","#2142705",1,1481,1410.48,1
"2026-08-27 01:00:00","#2142743",1,1617,1427.62,2
"2026-08-27 01:00:00","#2142765",1,1473,1402.86,1
"2026-08-27 01:00:00","#2142755",1,134,127.62,1
"2026-08-27 01:00:00","#2142737",1,2538,2417.14,4
"2026-08-27 01:00:00","#2142744",1,3997,3806.67,7
"2026-08-27 01:00:00","#2142752",1,1499,1427.62,2
"2026-08-27 01:00:00","#2142762",1,1699,1618.1,2
"2026-08-27 01:00:00","#2142738",1,1548,1474.29,2
"2026-08-27 01:00:00","#2142745",1,1499,1427.62,2
"2026-08-27 01:00:00","#2142763",1,1599,1522.86,1
"2026-08-27 01:00:00","#2142753",1,3098,2950.48,5
"2026-08-27 01:00:00","#2142739",1,1617,1427.62,2
"2026-08-27 01:00:00","#2142742",1,1499,1427.62,2
"2026-08-27 01:00:00","#2142754",1,1948,1855.24,4
"2026-08-27 01:00:00","#2142764",1,1499,1427.62,1
"2026-08-27 01:00:00","#2142736",1,1057,1006.66,1
"2026-08-27 01:00:00","#2142747",1,2249,2141.9,2
"2026-08-27 01:00:00","#2142759",1,1599,1522.86,1
"2026-08-27 01:00:00","#2142769",1,2940,2800,3
"2026-08-27 01:00:00","#2142751",1,1617,1427.62,2
"2026-08-27 01:00:00","#2142761",1,1499,1427.62,2
"2026-08-27 01:00:00","#2142740",1,494.1,470.57,1
"2026-08-27 01:00:00","#2142770",1,4498,4283.81,5
"2026-08-27 01:00:00","#2142766",1,1599,1522.86,1
"2026-08-27 01:00:00","#2142756",1,1499,1427.62,2
"2026-08-27 01:00:00","#2142748",1,1967,1760.95,2
"2026-08-27 01:00:00","#2142734",1,2998,2855.24,6
"2026-08-27 01:00:00","#2142771",1,2117,1903.81,2
"2026-08-27 01:00:00","#2142741",1,1499,1427.62,2
"2026-08-27 01:00:00","#2142757",1,4497,4282.86,9
"2026-08-27 01:00:00","#2142767",1,1699,1618.1,2
"2026-08-27 01:00:00","#2142749",1,1395,1328.57,1
"2026-08-27 01:00:00","#2142735",1,3898,3712.38,6
"2026-08-27 01:00:00","#2142746",1,1698,1617.14,3
"2026-08-27 01:00:00","#2142768",1,1359.15,1294.43,1
"2026-08-27 01:00:00","#2142758",1,3258,3102.86,5
"2026-08-27 01:00:00","#2142760",1,1499,1427.62,2
"2026-08-27 01:00:00","#2142750",1,1699,1618.1,2
"2026-08-27 02:00:00","#2142772",1,2566,2331.43,3
"2026-08-27 02:00:00","#2142775",1,1519,1446.66,1
"2026-08-27 02:00:00","#2142774",1,2187,1970.48,2
"2026-08-27 02:00:00","#2142773",1,1584,1508.57,1
"2026-08-27 02:00:00","#2142776",1,1699,1618.1,1
"2026-08-27 02:00:00","#2142779",1,1584,1508.57,1
"2026-08-27 02:00:00","#2142778",1,1617,1427.62,1
"2026-08-27 02:00:00","#2142777",1,1149,1094.29,1
"2026-08-27 03:00:00","#2142793",1,1699,1618.1,1
"2026-08-27 03:00:00","#2142785",1,2166,1950.48,4
"2026-08-27 03:00:00","#2142794",1,2187,1970.48,2
"2026-08-27 03:00:00","#2142782",1,1484,1413.33,1
"2026-08-27 03:00:00","#2142792",1,2000,1904.76,2
"2026-08-27 03:00:00","#2142784",1,1699,1618.1,2
"2026-08-27 03:00:00","#2142789",1,1499,1427.62,2
"2026-08-27 03:00:00","#2142781",1,1499,1427.62,1
"2026-08-27 03:00:00","#2142790",1,1517,1332.38,1
"2026-08-27 03:00:00","#2142786",1,1617,1427.62,2
