"Hour","Order name","Orders","Total sales","Net sales","Quantity ordered","Hour (yesterday)","Orders (yesterday)","Total sales (yesterday)","Net sales (yesterday)","Quantity ordered (yesterday)","Orders (yesterday) ","Total sales (yesterday) ","Net sales (yesterday) ","Quantity ordered (yesterday) "
"2026-08-28 00:00:00","#2142718",0,0,0,0,"2026-08-27 00:00:00",1,3398,3236.2,6,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142692",0,0,0,0,"2026-08-27 00:00:00",1,1817,1618.1,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145416",1,4497,4282.86,9,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145391",1,1699,1618.1,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142721",0,0,0,0,"2026-08-27 00:00:00",1,1617,1427.62,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142711",0,0,0,0,"2026-08-27 00:00:00",1,1817,1618.1,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142660",0,0,0,0,"2026-08-27 00:00:00",1,1617,1427.62,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142707",0,0,0,0,"2026-08-27 00:00:00",1,1499,1427.62,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142668",0,0,0,0,"2026-08-27 00:00:00",1,1837,1637.14,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142658",0,0,0,0,"2026-08-27 00:00:00",1,1499,1427.62,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142729",0,0,0,0,"2026-08-27 00:00:00",1,1617,1427.62,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142676",0,0,0,0,"2026-08-27 00:00:00",1,3183,3031.42,4,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142719",0,0,0,0,"2026-08-27 00:00:00",1,4196,3996.19,8,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145443",1,1617,1427.62,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142691",0,0,0,0,"2026-08-27 00:00:00",1,1499,1427.62,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145388",1,1884,1794.29,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145396",1,1499,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145411",1,1499,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145421",1,2608,2371.43,4,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145419",1,2286,2177.14,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145429",1,1499,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145437",1,1948,1855.24,3,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145407",1,1584,1508.57,1,"2026-08-27 00:00:00",0,0,0,0,,,,
