"Hour","Online store visitors","Sessions","Hour (previous_period)","Online store visitors (previous_period)","Sessions (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) "
"2026-08-27 00:00:00",6995,7029,"2026-08-26 00:00:00",7009,7037,-0.19974318733057497,-0.1136848088674151
"2026-08-27 01:00:00",3602,3613,"2026-08-26 01:00:00",3229,3236,11.551563951687829,11.650185414091471
"2026-08-27 02:00:00",1652,1655,"2026-08-26 02:00:00",1713,1720,-3.561004086398132,-3.7790697674418605
"2026-08-27 03:00:00",1241,1246,"2026-08-26 03:00:00",1070,1078,15.981308411214954,15.584415584415584
"2026-08-27 04:00:00",1085,1088,"2026-08-26 04:00:00",1016,1019,6.791338582677166,6.77134445534838
"2026-08-27 05:00:00",1590,1632,"2026-08-26 05:00:00",1321,1354,20.36336109008327,20.53175775480059
"2026-08-27 06:00:00",3463,3471,"2026-08-26 06:00:00",2812,2820,23.15078236130868,23.085106382978722
"2026-08-27 07:00:00",6363,6382,"2026-08-26 07:00:00",5596,5617,13.706218727662616,13.61936977034004
"2026-08-27 08:00:00",9558,9588,"2026-08-26 08:00:00",8404,8437,13.731556401713469,13.642289913476354
"2026-08-27 09:00:00",11573,11625,"2026-08-26 09:00:00",10217,10268,13.271997650973868,13.215816127775614
"2026-08-27 10:00:00",11934,12001,"2026-08-26 10:00:00",11579,11658,3.0658951550220226,2.9421856236061075
"2026-08-27 11:00:00",13565,13642,"2026-08-26 11:00:00",11829,11894,14.675796770648406,14.696485623003195
"2026-08-27 12:00:00",12763,12843,"2026-08-26 12:00:00",11304,11369,12.9069355980184,12.96508048201249
"2026-08-27 13:00:00",11524,11585,"2026-08-26 13:00:00",10657,10724,8.135497794876606,8.028720626631854
"2026-08-27 14:00:00",11945,12020,"2026-08-26 14:00:00",11488,11551,3.978064066852368,4.0602545234178855
"2026-08-27 15:00:00",11507,11573,"2026-08-26 15:00:00",12308,12376,-6.507962300942476,-6.488364576599871
"2026-08-27 16:00:00",10969,11044,"2026-08-26 16:00:00",11578,11638,-5.259975816203144,-5.103969754253308
"2026-08-27 17:00:00",11230,11280,"2026-08-26 17:00:00",10744,10811,4.523454951600893,4.338174081953566
"2026-08-27 18:00:00",10720,10783,"2026-08-26 18:00:00",10633,10690,0.8182074673187247,0.8699719363891487
"2026-08-27 19:00:00",11166,11226,"2026-08-26 19:00:00",11027,11086,1.260542305250748,1.2628540501533465
"2026-08-27 20:00:00",11917,11975,"2026-08-26 20:00:00",11552,11620,3.1596260387811634,3.055077452667814
"2026-08-27 21:00:00",13218,13295,"2026-08-26 21:00:00",12983,13075,1.8100593083262728,1.6826003824091778
"2026-08-27 22:00:00",14584,14653,"2026-08-26 22:00:00",14042,14109,3.859849024355505,3.8556949464880574
"2026-08-27 23:00:00",12414,12479,"2026-08-26 23:00:00",11929,11995,4.06572218962193,4.035014589412255
